author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Patrick Christmann (Autor:in),Referat (Ausarbeitung),2004,none,Universität Koblenz-Landau,9783640071203,de,https://www.hausarbeiten.de/document/108930,8,8 von 8 Seiten X- nach oben,Kostenlos,145,Germanistik - Sonstiges, Strukturalismus Methode Literaturwissenschaft) Literaturwissenschaftliches Examenskolloquium ,14694,Strukturalismus (als Methode der Literaturwissenschaft)
Patrick Christmann (Autor:in),Referat (Ausarbeitung),2004,none,Universität Koblenz-Landau,9783640071210,de,https://www.hausarbeiten.de/document/108931,14,13 von 14 Seiten X- nach oben,Kostenlos,244,Germanistik - Gattungen, Volkspoesie Romantik) Romantik ,20578,Volkspoesie (insbesondere in der Romantik)
Christian Plätzer (Autor:in),Seminararbeit,1993,Sehr gut,Otto-Friedrich-Universität Bamberg,9783640070848,de,https://www.hausarbeiten.de/document/108893,11,11 von 11 Seiten X- nach oben,Kostenlos,1776,Germanistik - Neuere Deutsche Literatur, Ebenen Verbrechens Ingeborg Bachmanns Fall Franza ,22380,"Die Ebenen des Verbrechens in Ingeborg Bachmanns ""Der Fall Franza"""
Tanja Hofmann (Autor:in),Hausarbeit,2003,"1,7",Humboldt-Universität zu Berlin,9783640070732,de,https://www.hausarbeiten.de/document/108882,17,17 von 17 Seiten X- nach oben,Kostenlos,2079,Germanistik - Neuere Deutsche Literatur, Wunderbare Märchenhafte Hoffmanns Nußknacker Mausekönig ,48422,"Das Wunderbare und Märchenhafte in E. T. A. Hoffmanns ""Nußknacker und Mausekönig"""
Felix Schütz (Autor:in),Seminararbeit,2004,none,Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640070190,de,https://www.hausarbeiten.de/document/108828,17,17 von 17 Seiten X- nach oben,Kostenlos,1076,Germanistik - Neuere Deutsche Literatur, Goethe Willkommen Abschied Fassung) Textanalytische Proseminar ,28993,Goethe: Willkommen und Abschied (spätere Fassung) - Textanalytische Übung
Stefan Weise (Autor:in),Hausarbeit,2002,"1,0",Freie Universität Berlin,9783640070039,de,https://www.hausarbeiten.de/document/108811,21,21 von 21 Seiten X- nach oben,Kostenlos,412,Germanistik - Neuere Deutsche Literatur, Wiederbelebung Vergangenheit Erzählstrukturen Jenny Erpenbecks Erzählung Novellistik ,56179,Die Wiederbelebung der Vergangenheit. Erzählstrukturen in Jenny Erpenbecks Erzählung -Sibirien-
Norbert Krause (Autor:in),Hausarbeit (Hauptseminar),2003,"1,7",Friedrich-Schiller-Universität Jena,9783640069965,de,https://www.hausarbeiten.de/document/108803,36,36 von 36 Seiten X- nach oben,Kostenlos,2295,Germanistik - Neuere Deutsche Literatur, Celans Gedicht Fadensonnen Paul Celan ,94746,Celans Gedicht Fadensonnen
Nadine Kinne (Autor:in),Hausarbeit (Hauptseminar),2004,1-,Johannes Gutenberg-Universität Mainz,9783640069743,de,https://www.hausarbeiten.de/document/108781,31,31 von 31 Seiten X- nach oben,Kostenlos,2217,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Gottfried Benn Nationalsozialist Eine Analyse Gesinnung Berücksichtigung Korrespondenz Klaus Mann Gottfried Benn Sicht ,67687,Gottfried Benn - ein Nationalsozialist? Eine Analyse seiner Gesinnung 1933 unter Berücksichtigung der Korrespondenz mit Klaus Mann
Julia Schmiedeberg (Autor:in),Hausarbeit,2003,2,Universität zu Köln,9783640069392,de,https://www.hausarbeiten.de/document/108745,15,15 von 15 Seiten X- nach oben,Kostenlos,683,Germanistik - Neuere Deutsche Literatur, Rhythmus Goethes Willkommen Abschied Ganymed ,28144,Der Rhythmus in Goethes 'Willkommen und Abschied' und 'Ganymed'
Antje Heidbrede (Autor:in),Seminararbeit,2004,"1,3",Universität Bielefeld,9783640069354,de,https://www.hausarbeiten.de/document/108741,20,20 von 20 Seiten X- nach oben,Kostenlos,1605,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Begriff Ehre Hartmanns Erec Chrétiens Troyes Erec Enide ,31403,Der Begriff der Ehre in Hartmanns von Aue 'Erec' und Chrétiens de Troyes 'Erec et Enide'
Bianca Prohl (Autor:in),Seminararbeit,2001,gut,Universität Hamburg,9783640069088,de,https://www.hausarbeiten.de/document/108714,16,16 von 16 Seiten X- nach oben,Kostenlos,1031,Germanistik - Linguistik, Strategien Verschlüsselung Mitteilung Informationen Seminar Forensische Analysen Kommunikation Handlungskontexten ,40816,Strategien der Verschlüsselung und Mitteilung geheimer Informationen
Uwe Jahn (Autor:in),Hausarbeit (Hauptseminar),2002,"1,75",Universität Konstanz,9783640069057,de,https://www.hausarbeiten.de/document/108710,21,20 von 21 Seiten X- nach oben,Kostenlos,1469,Germanistik - Neuere Deutsche Literatur, Wirkungsintention Personenkonfigiration Lessings Emilia Galotti Hauptseminar Lessing Dramen ,44294,"Zur Wirkungsintention und Personenkonfigiration in Lessings ""Emilia Galotti"""
Uwe Jahn (Autor:in),Hausarbeit (Hauptseminar),2003,"1,7",Universität Konstanz,9783640069064,de,https://www.hausarbeiten.de/document/108711,20,20 von 20 Seiten X- nach oben,Kostenlos,1954,Germanistik - Neuere Deutsche Literatur, Friedrich Schiller Jungfrau Orleans Bezüge Geschlechterpolitik Französischen Revolution Frauenopfer Staatsräson ,38531,"Friedrich Schiller: ""Die Jungfrau von Orleans"" - Bezüge zur Geschlechterpolitik der Französischen Revolution"
Bianca Prohl (Autor:in),Seminararbeit,2002,2-3,Universität Hamburg,9783640068999,de,https://www.hausarbeiten.de/document/108704,26,26 von 26 Seiten X- nach oben,Kostenlos,1861,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Brautwerbung Handlungsmuster Nibelungenlied Seminar Nibelungenlied ,41167,Brautwerbung als Handlungsmuster im Nibelungenlied
Dorthe March (Autor:in),Hausarbeit (Hauptseminar),2002,none,Universität Hamburg,9783640068869,de,https://www.hausarbeiten.de/document/108691,21,21 von 21 Seiten X- nach oben,Kostenlos,171,Germanistik - Neuere Deutsche Literatur, Karl Gutzkow Karl August Varnhagen Ense Selbst- Fremdwahrnehmung Seminar Literarischer Journalismus Vormärz ,37240,Karl Gutzkow und Karl August Varnhagen von Ense: Selbst- und Fremdwahrnehmung
Dorthe March (Autor:in),Seminararbeit,2001,"2,3",Universität Hamburg,9783640068876,de,https://www.hausarbeiten.de/document/108692,22,22 von 22 Seiten X- nach oben,Kostenlos,1342,Germanistik - Linguistik, Funktionsveränderung Adjektiven Kommentartexten Seminar Kommentieren Massenmedien ,48908,Die Funktionsveränderung von Adjektiven in ironischen Kommentartexten
Astrid Fassbender (Autor:in),Hausarbeit (Hauptseminar),2003,"1,0",Universität zu Köln,9783640068739,de,https://www.hausarbeiten.de/document/108678,23,22 von 23 Seiten X- nach oben,Kostenlos,2266,Germanistik - Neuere Deutsche Literatur, Perspektive Brigitte Burmeisters Roman Norma Untergang Spiegel Literatur ,60297,Die weibliche Perspektive in Brigitte Burmeisters Roman Norma
anonymous,Hausarbeit,2003,1.0,Universität des Saarlandes,9783640068517,de,https://www.hausarbeiten.de/document/108656,19,19 von 19 Seiten X- nach oben,Kostenlos,1564,Germanistik - Linguistik, Gemeinsames Scherzen Scherzaktivitäten Verkaufsgesprächen Sprech Gesprächsstile ,32845,Gemeinsames Scherzen - Scherzaktivitäten in telefonischen Verkaufsgesprächen
Nicole Streich (Autor:in),Referat (Ausarbeitung),2003,"1,7",Heinrich-Heine-Universität Düsseldorf,9783640068524,de,https://www.hausarbeiten.de/document/108657,5,5 von 5 Seiten X- nach oben,Kostenlos,232,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Ausbildung Ritters Mittelalter ,7776,Die Ausbildung des Ritters im Mittelalter
Sonja Walther (Autor:in),Hausarbeit (Hauptseminar),2001,"2,0",Albert-Ludwigs-Universität Freiburg,9783640068319,de,https://www.hausarbeiten.de/document/108636,14,14 von 14 Seiten X- nach oben,Kostenlos,1028,Germanistik - Neuere Deutsche Literatur, Textimmanente Interpretation Gedichts Cocain Benn) Hauptseminar Gottfried Benn Lyrik ,26571,"Textimmanente Interpretation des Gedichts ""Cocain"" (Gottfried Benn)"
Christian Dünisch (Autor:in),Hausarbeit (Hauptseminar),2003,1,Bayerische Julius-Maximilians-Universität Würzburg,9783640067695,de,https://www.hausarbeiten.de/document/108572,18,18 von 18 Seiten X- nach oben,Kostenlos,831,Germanistik - Neuere Deutsche Literatur, Eine Kultur Robert Musils Roman Verwirrungen Zöglings Törleß Kinematographie Hauptseminar Erzählung Essayistik Musil Hofmannsthal) ,43235,"""Eine neue sinnliche Kultur"" - Robert Musils Roman 'Die Verwirrungen des Zöglings Törleß' und die Kinematographie"
Lena Drevermann (Autor:in),Hausarbeit (Hauptseminar),2003,2,Ruhr-Universität Bochum,9783640067299,de,https://www.hausarbeiten.de/document/108532,29,29 von 29 Seiten X- nach oben,Kostenlos,1116,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Hermann Bote Verfasser EUlenspiegels Hauptseminar ,47298,Hermann Bote - Verfasser des EUlenspiegels?
Luise A. Finke (Autor:in),Ausarbeitung,1998,"1,0",Universität Leipzig,9783640067206,de,https://www.hausarbeiten.de/document/108523,8,8 von 8 Seiten X- nach oben,Kostenlos,216,Germanistik - Neuere Deutsche Literatur, Sozialgeschichtliche Hintergründe Stellung Frau Mutter Jahrhundert ,14018,Sozialgeschichtliche Hintergründe der Stellung von Frau und Mutter im 18. und 19. Jahrhundert
Marijana Prusina (Autor:in),Seminararbeit,2003,"1,0",Universität Karlsruhe (TH),9783640067091,de,https://www.hausarbeiten.de/document/108512,25,25 von 25 Seiten X- nach oben,Kostenlos,2674,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Auto- Heterostereotypen Rolandslied Pfaffen Konrad Orientalismus ,51481,Auto- und Heterostereotypen im Rolandslied des Pfaffen Konrad
Jasmin Ostermeyer (Autor:in),Seminararbeit,2003,1,Gottfried Wilhelm Leibniz Universität Hannover,9783640066759,de,https://www.hausarbeiten.de/document/108478,14,14 von 14 Seiten X- nach oben,Kostenlos,990,Germanistik - Neuere Deutsche Literatur, Spiel Realität Samuel Becketts Warten Godot ,25759,"Spiel oder Realität? - Samuel Becketts ""Warten auf Godot"""
Marijana Prusina (Autor:in),Hausarbeit,2003,"2,0",Universität Karlsruhe (TH),9783640066605,de,https://www.hausarbeiten.de/document/108463,23,23 von 23 Seiten X- nach oben,Kostenlos,2356,Germanistik - Neuere Deutsche Literatur, Kunst Literatur Motive Goethes Leiden Werther Goethe Romane ,50059,"Kunst und Literatur als Motive in Goethes ""Die Leiden des jungen Werther"""
Jenni Winterhagen (Autor:in),Hausarbeit (Hauptseminar),2003,1,Freie Universität Berlin,9783640066421,de,https://www.hausarbeiten.de/document/108445,19,19 von 19 Seiten X- nach oben,Kostenlos,1176,Germanistik - Neuere Deutsche Literatur, Wahnsinn Hoffmanns Erzählung Sandmann* Erzählungen Romantik Thema Der Sandmann ,39616,Vom Wahnsinn erzählen - E.T.A. Hoffmanns Erzählung *Der Sandmann*
Anett Stemmer (Autor:in),Seminararbeit,2003,unbenotet,Technische Universität Berlin,9783640066346,de,https://www.hausarbeiten.de/document/108437,19,19 von 19 Seiten X- nach oben,Kostenlos,3805,Germanistik - Neuere Deutsche Literatur, Blaubart-Prinzip Frischs Blaubart ,48929,"Das Blaubart-Prinzip in Max Frischs ""Blaubart"""
Lasse Herbers (Autor:in),Seminararbeit,2003,gut,Europa-Universität Flensburg (ehem. Universität Flensburg),9783640066223,de,https://www.hausarbeiten.de/document/108425,18,18 von 18 Seiten X- nach oben,Kostenlos,1763,Germanistik - Gattungen, Vergleich Roman Sage Beispiel Wiben Peter Seminar Sagen Nord- Ostseee ,51866,Vergleich zwischen historischem Roman und Sage  am Beispiel von 'Wiben Peter'
Michael Dengler (Autor:in),Hausarbeit (Hauptseminar),2003,none,Eberhard-Karls-Universität Tübingen,9783640065226,de,https://www.hausarbeiten.de/document/108325,19,19 von 19 Seiten X- nach oben,Kostenlos,1186,Germanistik - Neuere Deutsche Literatur, Anmerkungen Christian Krachts Faserland Ethik Erzählens ,36815,Anmerkungen zu Christian Krachts Faserland
Martin Enderlein (Autor:in),Seminararbeit,2003,sehr gut,Martin-Luther-Universität Halle-Wittenberg,9783640063970,de,https://www.hausarbeiten.de/document/108195,19,19 von 19 Seiten X- nach oben,Kostenlos,832,Germanistik - Gattungen, Theorie Novelle Beispiel Adalbert Stifters Brigitta Biedermeier/Vormärz Eine Einführung ,38158,"Die Theorie der biedermeierlichen Novelle Am Beispiel Adalbert Stifters ""Brigitta"""
Martin Enderlein (Autor:in),Seminararbeit,2002,2 (gut),Martin-Luther-Universität Halle-Wittenberg,9783640063987,de,https://www.hausarbeiten.de/document/108196,22,22 von 22 Seiten X- nach oben,Kostenlos,1422,Germanistik - Neuere Deutsche Literatur, Franz Fühmann Berg Prozeß Fragment Franz Fühmann Leben Werk ,43948,Franz Fühmann - Im Berg - Vom Prozeß zum Fragment
Martin Enderlein (Autor:in),Seminararbeit,2002,"1,0",Martin-Luther-Universität Halle-Wittenberg,9783640063994,de,https://www.hausarbeiten.de/document/108197,19,19 von 19 Seiten X- nach oben,Kostenlos,1197,Germanistik - Neuere Deutsche Literatur, Christa Wolf Erzählung Literaturstreit Christa Wolf Leben Werk ,40411,"Das MfS und Christa Wolf - Die Erzählung ""Was bleibt"" und der gesamtdeutsche Literaturstreit"
Kathrin Mertens (Autor:in),Hausarbeit (Hauptseminar),2003,"2,3",Ludwig-Maximilians-Universität München,9783640063536,de,https://www.hausarbeiten.de/document/108150,25,25 von 25 Seiten X- nach oben,Kostenlos,1761,Germanistik - Neuere Deutsche Literatur, Thomas Manns Venedig Betrogene Motivgleiche Erzählungen Hauptseminar Spätwerk Thomas Manns WiSe ,56550,"Thomas Manns ""Der Tod in Venedig"" und ""Die Betrogene"" - Motivgleiche Erzählungen?"
Corinna Baumgartner (Autor:in),Seminararbeit,2003,1 - 2,Ludwig-Maximilians-Universität München,9783640063543,de,https://www.hausarbeiten.de/document/108151,19,19 von 19 Seiten X- nach oben,Kostenlos,939,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Wertung Figuren Hartmann Chrétien Troyes Beispiel Laudine Proseminar Hartmann Iwein ,36789,Wertung der weiblichen Figuren bei Hartmann von Aue und Chrétien de Troyes am Beispiel der Laudine
Eva Reblin (Autor:in),Hausarbeit (Hauptseminar),2000,sehr gut,Technische Universität Berlin,9783638215336,de,https://www.hausarbeiten.de/document/16801,24,24 von 24 Seiten X- nach oben,Kostenlos,2607,"Germanistik - Semiotik, Pragmatik, Semantik", Computer Gedächtnismaschinen Darstellung Kollektiven Gedächtnisses Datenuniversum Hauptseminar Mediensemiotik ,42030,Computer als Gedächtnismaschinen? Die Darstellung des Kollektiven Gedächtnisses im  Datenuniversum
Philipp Gmuer (Autor:in),Hausarbeit,2001,none,none,9783640063833,de,https://www.hausarbeiten.de/document/108181,6,5 von 6 Seiten X- nach oben,Kostenlos,614,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Helden Helvetiens ,13252,Die mittelalterlichen Helden Helvetiens
Brian Trenaman (Autor:in),Hausarbeit (Hauptseminar),1999,"1,0",Universität zu Köln,9783640063048,de,https://www.hausarbeiten.de/document/108100,24,24 von 24 Seiten X- nach oben,Kostenlos,2491,Germanistik - Neuere Deutsche Literatur, Thomas Bernhards Roman Frost Leiden Malers Strauch Perspektive ,63172,Thomas Bernhards Roman 'Frost' - Das Leiden des Malers Strauch aus philologischer und philosophischer Perspektive
Cezary Bazydlo (Autor:in),Referat (Ausarbeitung),2002,unbenotet,Universität Konstanz,9783640062614,de,https://www.hausarbeiten.de/document/108057,13,13 von 13 Seiten X- nach oben,Kostenlos,354,Germanistik - Linguistik, Entstehung Artikels Althochdeutschen Sprachwandel Grammatikalisierung ,23480,Die Entstehung des bestimmten Artikels im Althochdeutschen
Patrick Christmann (Autor:in),Seminararbeit,2002,"2,3",Universität Koblenz-Landau,9783640062652,de,https://www.hausarbeiten.de/document/108061,22,21 von 22 Seiten X- nach oben,Kostenlos,262,Germanistik - Neuere Deutsche Literatur, Glaube Herzogs Dürrenmatts Blinde Seminar Komische ,42836,"Der Glaube des Herzogs in Dürrenmatts ""Der Blinde"""
Chrstine Martin (Autor:in),Hausarbeit (Hauptseminar),2002,"1,0",Universität Mannheim,9783640062133,de,https://www.hausarbeiten.de/document/108009,30,29 von 30 Seiten X- nach oben,Kostenlos,2355,Germanistik - Neuere Deutsche Literatur, Religiöse Elemente Film Truman Show Religion Medien ,68170,Religiöse und metaphysische Elemente im Film Truman Show
Chrstine Martin (Autor:in),Seminararbeit,2003,"1,0",Universität Mannheim,9783640062140,de,https://www.hausarbeiten.de/document/108010,23,22 von 23 Seiten X- nach oben,Kostenlos,2121,Germanistik - Neuere Deutsche Literatur, Idee Wandel Diskurses Sexualität Beispiel Rick Moodys Eissturm Probleme Eros Film Literatur ,48680,Die Idee vom befreiten Sex. Der Wandel des Diskurses über die Sexualität am Beispiel von Rick Moodys der Eissturm
Patrick Christmann (Autor:in),Hausarbeit,2003,2-,Universität Koblenz-Landau,9783640061518,de,https://www.hausarbeiten.de/document/107944,27,27 von 27 Seiten X- nach oben,Kostenlos,163,Germanistik - Neuere Deutsche Literatur, Bewusstseinsdarstellung Figurenrede Gottfried Kellers Kleider Leute Erzähltheorie Thema Kleider machen Leute ,86138,"Bewusstseinsdarstellung und Figurenrede in Gottfried Kellers ""Kleider machen Leute"""
Patrick Christmann (Autor:in),Seminararbeit,2003,1,Universität Koblenz-Landau,9783640061525,de,https://www.hausarbeiten.de/document/107945,23,23 von 23 Seiten X- nach oben,Kostenlos,2105,Germanistik - Linguistik, Dialekt Christentum Zwischen Dialekt Hochsprache ,44676,Dialekt und Christentum
Marijana Prusina (Autor:in),Hausarbeit,2002,"1,7",Universität Karlsruhe (TH),9783640060931,de,https://www.hausarbeiten.de/document/107876,12,12 von 12 Seiten X- nach oben,Kostenlos,1421,Germanistik - Neuere Deutsche Literatur, Achim Arnim Erzähler ,25144,Achim von Arnim - ein romantischer Erzähler
Ann-Kristin Koch (Autor:in),Hausarbeit,2001,"1,3",Westfälische Wilhelms-Universität Münster,9783640060740,de,https://www.hausarbeiten.de/document/107853,19,19 von 19 Seiten X- nach oben,Kostenlos,1990,Germanistik - Linguistik, Grammatische Bedingungen Textkohärenz Proseminar Grundstudium ,32643,Grammatische Bedingungen von Textkohärenz
"Brauburger, Johannes (Autor:in)",Hausarbeit (Hauptseminar),2003,"1,3",Technische Universität Dresden,9783640060436,de,https://www.hausarbeiten.de/document/107820,18,18 von 18 Seiten X- nach oben,Kostenlos,4812,Germanistik - Linguistik, Kommunikationskonflikte Institutionen Behördliche Sprache Kommunikation Beispiele ,29953,Kommunikationskonflikte in Institutionen - Behördliche Sprache versus normalsprachliche Kommunikation anhand ausgesuchter Beispiele
Philipp Gmuer (Autor:in),Ausarbeitung,2002,none,none,9783640061310,de,https://www.hausarbeiten.de/document/107918,5,4 von 5 Seiten X- nach oben,Kostenlos,468,Germanistik - Neuere Deutsche Literatur, Goethe Johann Wolfgang Leiden Werther Goethes Briefroman ,12732,"Goethe, Johann Wolfgang von - Die Leiden des jungen Werther - Goethes Briefroman"
Philipp Gmuer (Autor:in),Hausarbeit,2001,none,none,9783640061327,de,https://www.hausarbeiten.de/document/107919,5,5 von 5 Seiten X- nach oben,Kostenlos,648,Germanistik - Sonstiges, Martin Luther ,13019,Martin Luther als Übersetzer
Philipp Gmuer (Autor:in),Hausarbeit,2001,none,none,9783640061334,de,https://www.hausarbeiten.de/document/107920,5,5 von 5 Seiten X- nach oben,Kostenlos,525,Germanistik - Sonstiges, Wesen Mystik ,12192,Zum Wesen der Mystik
Anja Widdel (Autor:in),Seminararbeit,2002,"2,0",Universität zu Köln,9783640060566,de,https://www.hausarbeiten.de/document/107833,19,19 von 19 Seiten X- nach oben,Kostenlos,1293,Germanistik - Neuere Deutsche Literatur, Ehebruchskonstellation Eduard Keyserlings Beate Mareile ,43028,"Die Ehebruchskonstellation in Eduard von Keyserlings ""Beate und Mareile"""
Alexander Krüger (Autor:in),Seminararbeit,2003,2,Otto-von-Guericke-Universität Magdeburg,9783640060320,de,https://www.hausarbeiten.de/document/107808,18,18 von 18 Seiten X- nach oben,Kostenlos,762,Germanistik - Neuere Deutsche Literatur, Wesen Prosa Dramatik Lyrik Proseminar ,34945,"Zum Wesen expressionistischer Prosa, Dramatik und Lyrik"
Simone Hausner (Autor:in),Seminararbeit,2001,"1,3",Universität Regensburg,9783640059881,de,https://www.hausarbeiten.de/document/107756,20,20 von 20 Seiten X- nach oben,Kostenlos,911,Germanistik - Linguistik, Tolkiens Quenya Plansprachen ,33049,J.R.R. Tolkiens Quenya
Matthias Amos Reinecke (Autor:in),Seminararbeit,2001,"1,0",Ruprecht-Karls-Universität Heidelberg,9783640059423,de,https://www.hausarbeiten.de/document/107703,18,18 von 18 Seiten X- nach oben,Kostenlos,1317,Germanistik - Neuere Deutsche Literatur, Analyse Kommunikationsverhaltens Hero Leander Franz Grillparzers Meeres Liebe Wellen- Einführung Literaturwissenschaft ,41242,Analyse des Kommunikationsverhaltens zwischen Hero und Leander in Franz Grillparzers -Des Meeres und der Liebe Wellen-
Bettina Pflaum (Autor:in),Hausarbeit,2001,1-,FernUniversität Hagen,9783640059447,de,https://www.hausarbeiten.de/document/107705,37,37 von 37 Seiten X- nach oben,Kostenlos,3597,Germanistik - Neuere Deutsche Literatur, Elemente Erhabenen Empfindsamen Wirkung Zürchersee- Friedrich Gottlieb Klopstock ,67838,Elemente des Erhabenen und Empfindsamen sowie deren Wirkung in der Ode -Der Zürchersee- von Friedrich Gottlieb Klopstock
Meral Ort (Autor:in),Seminararbeit,2003,2-,Eberhard-Karls-Universität Tübingen,9783640058778,de,https://www.hausarbeiten.de/document/107623,16,16 von 16 Seiten X- nach oben,Kostenlos,1199,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Begriff Nibelungenlied ,35895,Der Begriff der triuwe im Nibelungenlied
Jörg Lehmann (Autor:in),Hausarbeit (Hauptseminar),2002,1.5,none,9783640058105,de,https://www.hausarbeiten.de/document/107552,12,12 von 12 Seiten X- nach oben,Kostenlos,776,Germanistik - Neuere Deutsche Literatur, Georg Büchner Nationalsozialismus ,27292,Georg Büchner im Nationalsozialismus
Kathleen Seifert (Autor:in),Ausarbeitung,2001,none,Justus-Liebig-Universität Gießen,9783640058129,de,https://www.hausarbeiten.de/document/107554,15,15 von 15 Seiten X- nach oben,Kostenlos,2487,Germanistik - Neuere Deutsche Literatur, Arno Holz Revolution Lyrik ,24280,Arno Holz und seine Revolution der Lyrik
Alexandra Wernerowna Rebelein (Autor:in),Hausarbeit (Hauptseminar),2002,none,none,9783640057955,de,https://www.hausarbeiten.de/document/107536,16,16 von 16 Seiten X- nach oben,Kostenlos,1456,Germanistik - Neuere Deutsche Literatur, Götz Berlichingen Hand ,33843,Götz von Berlichingen mit der eisernen Hand
Michael Mann (Autor:in),Hausarbeit (Hauptseminar),2002,sehr gut (,Friedrich-Alexander-Universität Erlangen-Nürnberg,9783640057269,de,https://www.hausarbeiten.de/document/107457,33,32 von 33 Seiten X- nach oben,Kostenlos,5056,Germanistik - Linguistik, Groß- Kleinschreibung Eigennamen Nominationsstereotypen Deutsche Rechtschreibung ,73155,Die Groß- und Kleinschreibung von Eigennamen und Nominationsstereotypen
Sascha Pütz (Autor:in),Seminararbeit,2001,"2,3",Rheinisch-Westfälische Technische Hochschule Aachen,9783640057276,de,https://www.hausarbeiten.de/document/107458,5,5 von 5 Seiten X- nach oben,Kostenlos,247,Germanistik - Neuere Deutsche Literatur, Heizer Proseminar Franz Kafkas Erzählungen ,10644,"Die Heizer-Handlung in Franz Kafkas ""Der Verschollene)"
Sascha Pütz (Autor:in),Seminararbeit,2002,"2,3",Rheinisch-Westfälische Technische Hochschule Aachen,9783640057283,de,https://www.hausarbeiten.de/document/107459,15,15 von 15 Seiten X- nach oben,Kostenlos,747,Germanistik - Neuere Deutsche Literatur, Kafkas Roman Amerika Proseminar Franz Kafkas Erzählungen ,25952,Kafkas Roman Amerika
Manuela Strobl (Autor:in),Seminararbeit,2002,1,none,9783640057290,de,https://www.hausarbeiten.de/document/107460,21,20 von 21 Seiten X- nach oben,Kostenlos,602,Germanistik - Gattungen, Kleinepik Lügengeschichte Literaturwissenschaft ,47340,Kleinepik - Die Lügengeschichte
Katrin Reichwein (Autor:in),Seminararbeit,2003,Keine Note,Justus-Liebig-Universität Gießen,9783640057313,de,https://www.hausarbeiten.de/document/107462,9,8 von 9 Seiten X- nach oben,Kostenlos,174,Germanistik - Neuere Deutsche Literatur, Analyse Zeitstruktur Wolfgang Hildesheimers Pilzjahr Einführung Neuere Literaturwissenschaft ,11864,Analyse der Zeitstruktur in Wolfgang Hildesheimers: 1956 - ein Pilzjahr
Dietlinde Schmalfuß-Plicht (Autor:in),Hausarbeit,2002,none,FernUniversität Hagen,9783638162050,de,https://www.hausarbeiten.de/document/9521,24,24 von 24 Seiten X- nach oben,Kostenlos,4591,Germanistik - Neuere Deutsche Literatur, Brief / Tochterbrief ,71007,Tochterbriefe - Überlegungen zur Entwicklung der Gattung Brief anhand von Briefbeispielen von Töchtern an ihre Eltern
Andrea Geiss (Autor:in),Ausarbeitung,2001,none,Universität Karlsruhe (TH),9783640057153,de,https://www.hausarbeiten.de/document/107442,6,6 von 6 Seiten X- nach oben,Kostenlos,155,"Germanistik - Semiotik, Pragmatik, Semantik", Oralität Literalität Jack Goody Eric Havelock Seminar Medientheorie/ Mediengeschichte ,10626,Oralität und Literalität nach Jack Goody / Eric Havelock
Roland Zillmann (Autor:in),Hausarbeit (Hauptseminar),2002,none,Universität zu Köln,9783640056859,de,https://www.hausarbeiten.de/document/107412,27,27 von 27 Seiten X- nach oben,Kostenlos,1366,Germanistik - Neuere Deutsche Literatur, Disput Christa Wolfs Störfall Zeitschrift Spectrum Hauptseminar ,52900,Der Disput um Christa Wolfs Störfall in der Zeitschrift Spectrum
Michael Krefft (Autor:in),Hausarbeit (Hauptseminar),2002,1,Ludwig-Maximilians-Universität München,9783640056644,de,https://www.hausarbeiten.de/document/107391,22,22 von 22 Seiten X- nach oben,Kostenlos,3391,Germanistik - Neuere Deutsche Literatur, Wilhelm Hauffs Memoiren Satans Charakter Teufels Werkzeug Hauptseminar Wilhelm Hauff ,31065,Wilhelm Hauffs Memoiren des Satans. Der Charakter des Teufels als Werkzeug
Oliver Dehn (Autor:in),Hausarbeit (Hauptseminar),1999,"2,0",Otto-Friedrich-Universität Bamberg,9783640056651,de,https://www.hausarbeiten.de/document/107392,22,22 von 22 Seiten X- nach oben,Kostenlos,1383,"Germanistik - Literaturgeschichte, Epochen", Sprache Rechtsgut Sprachgesetzgebung Kaiserreich Hauptseminar ,33452,Die deutsche Sprache als Rechtsgut: Sprachgesetzgebung im Kaiserreich
Simone Hofmann (Autor:in),Seminararbeit,2001, 1,Ludwig-Maximilians-Universität München,9783640055999,de,https://www.hausarbeiten.de/document/107326,13,13 von 13 Seiten X- nach oben,Kostenlos,1050,Germanistik - Linguistik, Kohärenz Wissen Schlüsse Proseminar ,20843,Kohärenz: Wissen und Schlüsse
Simone Hofmann (Autor:in),Seminararbeit,2001,1,Ludwig-Maximilians-Universität München,9783640056002,de,https://www.hausarbeiten.de/document/107327,17,16 von 17 Seiten X- nach oben,Kostenlos,1282,Germanistik - Neuere Deutsche Literatur, Kridwiß-Kreis Thomas Manns Doktor Faustus Proseminar ,30649,Der Kridwiß-Kreis in Thomas Manns Doktor Faustus
